league,season,game,week,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-Premier League,1718,2017-11-25 Manchester Utd-Brighton,13,Sat,2017-11-25,15:00 (12:00),Manchester Utd,1–0,Brighton,75018,Old Trafford,Niel Swarbrick,/en/matches/8d061522/Manchester-United-Brighton-and-Hove-Albion-November-25-2017-Premier-League,,8d061522
ENG-Premier League,1718,2017-11-25 Newcastle United-Watford,13,Sat,2017-11-25,15:00 (12:00),Newcastle United,0–3,Watford,52188,St. James' Park,Chris Kavanagh,/en/matches/dfc83a02/Newcastle-United-Watford-November-25-2017-Premier-League,,dfc83a02
ENG-Premier League,1718,2017-11-25 Swansea City-Bournemouth,13,Sat,2017-11-25,15:00 (12:00),Swansea City,0–0,Bournemouth,20228,Liberty Stadium,Stuart Attwell,/en/matches/bc90e5b8/Swansea-City-Bournemouth-November-25-2017-Premier-League,,bc90e5b8
ENG-Premier League,1718,2017-11-25 Tottenham Hotspur-West Brom,13,Sat,2017-11-25,15:00 (12:00),Tottenham Hotspur,1–1,West Brom,65905,Wembley Stadium,Mike Jones,/en/matches/0ea2d13d/Tottenham-Hotspur-West-Bromwich-Albion-November-25-2017-Premier-League,,0ea2d13d
ENG-Premier League,1718,2017-11-26 Burnley-Arsenal,13,Sun,2017-11-26,14:00 (11:00),Burnley,0–1,Arsenal,21722,Turf Moor,Lee Mason,/en/matches/0ad47126/Burnley-Arsenal-November-26-2017-Premier-League,,0ad47126
ENG-Premier League,1718,2017-11-26 Huddersfield Town-Manchester City,13,Sun,2017-11-26,16:00 (13:00),Huddersfield Town,1–2,Manchester City,24121,The John Smith's Stadium,Craig Pawson,/en/matches/c150919a/Huddersfield-Town-Manchester-City-November-26-2017-Premier-League,,c150919a
ENG-Premier League,1718,2017-11-26 Southampton-Everton,13,Sun,2017-11-26,13:30 (10:30),Southampton,4–1,Everton,30461,St. Mary's Stadium,Kevin Friend,/en/matches/24bc9343/Southampton-Everton-November-26-2017-Premier-League,,24bc9343
ENG-Premier League,1718,2017-11-28 Brighton-Crystal Palace,14,Tue,2017-11-28,19:45 (16:45),Brighton,0–0,Crystal Palace,29889,The American Express Community Stadium,Andre Marriner,/en/matches/2b611e0f/Brighton-and-Hove-Albion-Crystal-Palace-November-28-2017-Premier-League,,2b611e0f
ENG-Premier League,1718,2017-11-28 Leicester City-Tottenham Hotspur,14,Tue,2017-11-28,19:45 (16:45),Leicester City,2–1,Tottenham Hotspur,31950,King Power Stadium,Anthony Taylor,/en/matches/49a854c5/Leicester-City-Tottenham-Hotspur-November-28-2017-Premier-League,,49a854c5
ENG-Premier League,1718,2017-11-28 Watford-Manchester Utd,14,Tue,2017-11-28,20:00 (17:00),Watford,2–4,Manchester Utd,20552,Vicarage Road Stadium,Jonathan Moss,/en/matches/1a4b3369/Watford-Manchester-United-November-28-2017-Premier-League,,1a4b3369
ENG-Premier League,1718,2017-11-28 West Brom-Newcastle United,14,Tue,2017-11-28,20:00 (17:00),West Brom,2–2,Newcastle United,25534,The Hawthorns,Lee Probert,/en/matches/c9a6291f/West-Bromwich-Albion-Newcastle-United-November-28-2017-Premier-League,,c9a6291f
ENG-Premier League,1718,2017-11-29 Arsenal-Huddersfield Town,14,Wed,2017-11-29,19:45 (16:45),Arsenal,5–0,Huddersfield Town,59285,Emirates Stadium,Graham Scott,/en/matches/5765760d/Arsenal-Huddersfield-Town-November-29-2017-Premier-League,,5765760d
ENG-Premier League,1718,2017-11-29 Bournemouth-Burnley,14,Wed,2017-11-29,19:45 (16:45),Bournemouth,1–2,Burnley,10302,Vitality Stadium,Roger East,/en/matches/0f0e0f7f/Bournemouth-Burnley-November-29-2017-Premier-League,,0f0e0f7f
ENG-Premier League,1718,2017-11-29 Chelsea-Swansea City,14,Wed,2017-11-29,19:45 (16:45),Chelsea,1–0,Swansea City,41365,Stamford Bridge,Niel Swarbrick,/en/matches/0d60e1e4/Chelsea-Swansea-City-November-29-2017-Premier-League,,0d60e1e4
ENG-Premier League,1718,2017-11-29 Everton-West Ham United,14,Wed,2017-11-29,20:00 (17:00),Everton,4–0,West Ham United,38242,Goodison Park,Michael Oliver,/en/matches/a302fbdd/Everton-West-Ham-United-November-29-2017-Premier-League,,a302fbdd
ENG-Premier League,1718,2017-11-29 Manchester City-Southampton,14,Wed,2017-11-29,20:00 (17:00),Manchester City,2–1,Southampton,53407,Etihad Stadium,Paul Tierney,/en/matches/cb554100/Manchester-City-Southampton-November-29-2017-Premier-League,,cb554100
ENG-Premier League,1718,2017-11-29 Stoke City-Liverpool,14,Wed,2017-11-29,20:00 (17:00),Stoke City,0–3,Liverpool,29423,Bet365 Stadium,Martin Atkinson,/en/matches/21c13e13/Stoke-City-Liverpool-November-29-2017-Premier-League,,21c13e13
ENG-Premier League,1718,2017-12-02 Arsenal-Manchester Utd,15,Sat,2017-12-02,17:30 (14:30),Arsenal,1–3,Manchester Utd,59547,Emirates Stadium,Andre Marriner,/en/matches/baa538cc/Arsenal-Manchester-United-December-2-2017-Premier-League,,baa538cc
ENG-Premier League,1718,2017-12-02 Brighton-Liverpool,15,Sat,2017-12-02,15:00 (12:00),Brighton,1–5,Liverpool,30634,The American Express Community Stadium,Graham Scott,/en/matches/92a410a2/Brighton-and-Hove-Albion-Liverpool-December-2-2017-Premier-League,,92a410a2
ENG-Premier League,1718,2017-12-02 Chelsea-Newcastle United,15,Sat,2017-12-02,12:30 (09:30),Chelsea,3–1,Newcastle United,41538,Stamford Bridge,Kevin Friend,/en/matches/66efb2b9/Chelsea-Newcastle-United-December-2-2017-Premier-League,,66efb2b9
ENG-Premier League,1718,2017-12-02 Everton-Huddersfield Town,15,Sat,2017-12-02,15:00 (12:00),Everton,2–0,Huddersfield Town,39167,Goodison Park,Chris Kavanagh,/en/matches/cfc62400/Everton-Huddersfield-Town-December-2-2017-Premier-League,,cfc62400
ENG-Premier League,1718,2017-12-02 Leicester City-Burnley,15,Sat,2017-12-02,15:00 (12:00),Leicester City,1–0,Burnley,30714,King Power Stadium,Paul Tierney,/en/matches/fbda6872/Leicester-City-Burnley-December-2-2017-Premier-League,,fbda6872
ENG-Premier League,1718,2017-12-02 Stoke City-Swansea City,15,Sat,2017-12-02,15:00 (12:00),Stoke City,2–1,Swansea City,28261,Bet365 Stadium,Craig Pawson,/en/matches/83bc0290/Stoke-City-Swansea-City-December-2-2017-Premier-League,,83bc0290
ENG-Premier League,1718,2017-12-02 Watford-Tottenham Hotspur,15,Sat,2017-12-02,15:00 (12:00),Watford,1–1,Tottenham Hotspur,20278,Vicarage Road Stadium,Martin Atkinson,/en/matches/0dbc6a97/Watford-Tottenham-Hotspur-December-2-2017-Premier-League,,0dbc6a97
ENG-Premier League,1718,2017-12-02 West Brom-Crystal Palace,15,Sat,2017-12-02,15:00 (12:00),West Brom,0–0,Crystal Palace,23531,The Hawthorns,Michael Oliver,/en/matches/4a14eedc/West-Bromwich-Albion-Crystal-Palace-December-2-2017-Premier-League,,4a14eedc
ENG-Premier League,1718,2017-12-03 Bournemouth-Southampton,15,Sun,2017-12-03,13:30 (10:30),Bournemouth,1–1,Southampton,10764,Vitality Stadium,Jonathan Moss,/en/matches/3a114119/Bournemouth-Southampton-December-3-2017-Premier-League,,3a114119
ENG-Premier League,1718,2017-12-03 Manchester City-West Ham United,15,Sun,2017-12-03,16:00 (13:00),Manchester City,2–1,West Ham United,54203,Etihad Stadium,Mike Dean,/en/matches/7c65617e/Manchester-City-West-Ham-United-December-3-2017-Premier-League,,7c65617e
ENG-Premier League,1718,2017-12-09 Burnley-Watford,16,Sat,2017-12-09,15:00 (12:00),Burnley,1–0,Watford,19479,Turf Moor,Lee Probert,/en/matches/db3b2aca/Burnley-Watford-December-9-2017-Premier-League,,db3b2aca
ENG-Premier League,1718,2017-12-09 Crystal Palace-Bournemouth,16,Sat,2017-12-09,15:00 (12:00),Crystal Palace,2–2,Bournemouth,24823,Selhurst Park,Kevin Friend,/en/matches/4aa97fef/Crystal-Palace-Bournemouth-December-9-2017-Premier-League,,4aa97fef
ENG-Premier League,1718,2017-12-09 Huddersfield Town-Brighton,16,Sat,2017-12-09,15:00 (12:00),Huddersfield Town,2–0,Brighton,24018,The John Smith's Stadium,Stuart Attwell,/en/matches/1e0cec3d/Huddersfield-Town-Brighton-and-Hove-Albion-December-9-2017-Premier-League,,1e0cec3d
ENG-Premier League,1718,2017-12-09 Newcastle United-Leicester City,16,Sat,2017-12-09,17:30 (14:30),Newcastle United,2–3,Leicester City,52117,St. James' Park,Niel Swarbrick,/en/matches/14f71230/Newcastle-United-Leicester-City-December-9-2017-Premier-League,,14f71230
ENG-Premier League,1718,2017-12-09 Swansea City-West Brom,16,Sat,2017-12-09,15:00 (12:00),Swansea City,1–0,West Brom,19580,Liberty Stadium,Mike Dean,/en/matches/dbcf5536/Swansea-City-West-Bromwich-Albion-December-9-2017-Premier-League,,dbcf5536
ENG-Premier League,1718,2017-12-09 Tottenham Hotspur-Stoke City,16,Sat,2017-12-09,15:00 (12:00),Tottenham Hotspur,5–1,Stoke City,62202,Wembley Stadium,Roger East,/en/matches/a91a2bf3/Tottenham-Hotspur-Stoke-City-December-9-2017-Premier-League,,a91a2bf3
ENG-Premier League,1718,2017-12-09 West Ham United-Chelsea,16,Sat,2017-12-09,12:30 (09:30),West Ham United,1–0,Chelsea,56953,London Stadium,Anthony Taylor,/en/matches/efda9b14/West-Ham-United-Chelsea-December-9-2017-Premier-League,,efda9b14
ENG-Premier League,1718,2017-12-10 Liverpool-Everton,16,Sun,2017-12-10,14:15 (11:15),Liverpool,1–1,Everton,53082,Anfield,Craig Pawson,/en/matches/347ec791/Merseyside-Derby-Liverpool-Everton-December-10-2017-Premier-League,,347ec791
ENG-Premier League,1718,2017-12-10 Manchester Utd-Manchester City,16,Sun,2017-12-10,16:30 (13:30),Manchester Utd,1–2,Manchester City,74847,Old Trafford,Michael Oliver,/en/matches/52419e39/Manchester-Derby-Manchester-United-Manchester-City-December-10-2017-Premier-League,,52419e39
ENG-Premier League,1718,2017-12-10 Southampton-Arsenal,16,Sun,2017-12-10,12:00 (09:00),Southampton,1–1,Arsenal,31643,St. Mary's Stadium,Robert Madley,/en/matches/8a233cbd/Southampton-Arsenal-December-10-2017-Premier-League,,8a233cbd
ENG-Premier League,1718,2017-12-12 Burnley-Stoke City,17,Tue,2017-12-12,19:45 (16:45),Burnley,1–0,Stoke City,19909,Turf Moor,Mike Jones,/en/matches/8ff402f4/Burnley-Stoke-City-December-12-2017-Premier-League,,8ff402f4
ENG-Premier League,1718,2017-12-12 Crystal Palace-Watford,17,Tue,2017-12-12,20:00 (17:00),Crystal Palace,2–1,Watford,23566,Selhurst Park,Lee Mason,/en/matches/099b2800/Crystal-Palace-Watford-December-12-2017-Premier-League,,099b2800
ENG-Premier League,1718,2017-12-12 Huddersfield Town-Chelsea,17,Tue,2017-12-12,20:00 (17:00),Huddersfield Town,1–3,Chelsea,24169,The John Smith's Stadium,Andre Marriner,/en/matches/6e0cc46e/Huddersfield-Town-Chelsea-December-12-2017-Premier-League,,6e0cc46e
ENG-Premier League,1718,2017-12-13 Liverpool-West Brom,17,Wed,2017-12-13,20:00 (17:00),Liverpool,0–0,West Brom,53243,Anfield,Paul Tierney,/en/matches/1b7ef0bf/Liverpool-West-Bromwich-Albion-December-13-2017-Premier-League,,1b7ef0bf
ENG-Premier League,1718,2017-12-13 Manchester Utd-Bournemouth,17,Wed,2017-12-13,20:00 (17:00),Manchester Utd,1–0,Bournemouth,74798,Old Trafford,Graham Scott,/en/matches/eaf5939d/Manchester-United-Bournemouth-December-13-2017-Premier-League,,eaf5939d
ENG-Premier League,1718,2017-12-13 Newcastle United-Everton,17,Wed,2017-12-13,19:45 (16:45),Newcastle United,0–1,Everton,51042,St. James' Park,Martin Atkinson,/en/matches/73b5607f/Newcastle-United-Everton-December-13-2017-Premier-League,,73b5607f
ENG-Premier League,1718,2017-12-13 Southampton-Leicester City,17,Wed,2017-12-13,19:45 (16:45),Southampton,1–4,Leicester City,27714,St. Mary's Stadium,Chris Kavanagh,/en/matches/d4cf1115/Southampton-Leicester-City-December-13-2017-Premier-League,,d4cf1115
ENG-Premier League,1718,2017-12-13 Swansea City-Manchester City,17,Wed,2017-12-13,19:45 (16:45),Swansea City,0–4,Manchester City,20870,Liberty Stadium,Anthony Taylor,/en/matches/f7ddcac0/Swansea-City-Manchester-City-December-13-2017-Premier-League,,f7ddcac0
ENG-Premier League,1718,2017-12-13 Tottenham Hotspur-Brighton,17,Wed,2017-12-13,20:00 (17:00),Tottenham Hotspur,2–0,Brighton,46438,Wembley Stadium,Robert Madley,/en/matches/8ca205ce/Tottenham-Hotspur-Brighton-and-Hove-Albion-December-13-2017-Premier-League,,8ca205ce
ENG-Premier League,1718,2017-12-13 West Ham United-Arsenal,17,Wed,2017-12-13,20:00 (17:00),West Ham United,0–0,Arsenal,56921,London Stadium,Jonathan Moss,/en/matches/2f10aa8f/West-Ham-United-Arsenal-December-13-2017-Premier-League,,2f10aa8f
ENG-Premier League,1718,2017-12-16 Arsenal-Newcastle United,18,Sat,2017-12-16,15:00 (12:00),Arsenal,1–0,Newcastle United,59379,Emirates Stadium,Stuart Attwell,/en/matches/2d7430b9/Arsenal-Newcastle-United-December-16-2017-Premier-League,,2d7430b9
ENG-Premier League,1718,2017-12-16 Brighton-Burnley,18,Sat,2017-12-16,15:00 (12:00),Brighton,0–0,Burnley,29921,The American Express Community Stadium,Chris Kavanagh,/en/matches/4365b452/Brighton-and-Hove-Albion-Burnley-December-16-2017-Premier-League,,4365b452
ENG-Premier League,1718,2017-12-16 Chelsea-Southampton,18,Sat,2017-12-16,15:00 (12:00),Chelsea,1–0,Southampton,41562,Stamford Bridge,Roger East,/en/matches/cd98063b/Chelsea-Southampton-December-16-2017-Premier-League,,cd98063b
ENG-Premier League,1718,2017-12-16 Leicester City-Crystal Palace,18,Sat,2017-12-16,12:30 (09:30),Leicester City,0–3,Crystal Palace,31081,King Power Stadium,Martin Atkinson,/en/matches/029fd911/Leicester-City-Crystal-Palace-December-16-2017-Premier-League,,029fd911
ENG-Premier League,1718,2017-12-16 Manchester City-Tottenham Hotspur,18,Sat,2017-12-16,17:30 (14:30),Manchester City,4–1,Tottenham Hotspur,54214,Etihad Stadium,Craig Pawson,/en/matches/6b423cc3/Manchester-City-Tottenham-Hotspur-December-16-2017-Premier-League,,6b423cc3
ENG-Premier League,1718,2017-12-16 Stoke City-West Ham United,18,Sat,2017-12-16,16:00 (13:00),Stoke City,0–3,West Ham United,29265,Bet365 Stadium,Graham Scott,/en/matches/17329e19/Stoke-City-West-Ham-United-December-16-2017-Premier-League,,17329e19
ENG-Premier League,1718,2017-12-16 Watford-Huddersfield Town,18,Sat,2017-12-16,15:00 (12:00),Watford,1–4,Huddersfield Town,20026,Vicarage Road Stadium,Michael Oliver,/en/matches/178a7528/Watford-Huddersfield-Town-December-16-2017-Premier-League,,178a7528
ENG-Premier League,1718,2017-12-17 Bournemouth-Liverpool,18,Sun,2017-12-17,16:30 (13:30),Bournemouth,0–4,Liverpool,10780,Vitality Stadium,Andre Marriner,/en/matches/790f1ce3/Bournemouth-Liverpool-December-17-2017-Premier-League,,790f1ce3
ENG-Premier League,1718,2017-12-17 West Brom-Manchester Utd,18,Sun,2017-12-17,14:15 (11:15),West Brom,1–2,Manchester Utd,24782,The Hawthorns,Anthony Taylor,/en/matches/097569a9/West-Bromwich-Albion-Manchester-United-December-17-2017-Premier-League,,097569a9
ENG-Premier League,1718,2017-12-18 Everton-Swansea City,18,Mon,2017-12-18,20:00 (17:00),Everton,3–1,Swansea City,37580,Goodison Park,Jonathan Moss,/en/matches/34b9d0ea/Everton-Swansea-City-December-18-2017-Premier-League,,34b9d0ea
ENG-Premier League,1718,2017-12-22 Arsenal-Liverpool,19,Fri,2017-12-22,19:45 (16:45),Arsenal,3–3,Liverpool,59409,Emirates Stadium,Martin Atkinson,/en/matches/12c55371/Arsenal-Liverpool-December-22-2017-Premier-League,,12c55371
ENG-Premier League,1718,2017-12-23 Brighton-Watford,19,Sat,2017-12-23,15:00 (12:00),Brighton,1–0,Watford,30473,The American Express Community Stadium,Paul Tierney,/en/matches/409da328/Brighton-and-Hove-Albion-Watford-December-23-2017-Premier-League,,409da328
ENG-Premier League,1718,2017-12-23 Burnley-Tottenham Hotspur,19,Sat,2017-12-23,17:30 (14:30),Burnley,0–3,Tottenham Hotspur,21650,Turf Moor,Michael Oliver,/en/matches/c82015ec/Burnley-Tottenham-Hotspur-December-23-2017-Premier-League,,c82015ec
ENG-Premier League,1718,2017-12-23 Everton-Chelsea,19,Sat,2017-12-23,12:30 (09:30),Everton,0–0,Chelsea,39191,Goodison Park,Robert Madley,/en/matches/317b694e/Everton-Chelsea-December-23-2017-Premier-League,,317b694e
ENG-Premier League,1718,2017-12-23 Leicester City-Manchester Utd,19,Sat,2017-12-23,19:45 (16:45),Leicester City,2–2,Manchester Utd,32202,King Power Stadium,Jonathan Moss,/en/matches/1913bdd6/Leicester-City-Manchester-United-December-23-2017-Premier-League,,1913bdd6
ENG-Premier League,1718,2017-12-23 Manchester City-Bournemouth,19,Sat,2017-12-23,15:00 (12:00),Manchester City,4–0,Bournemouth,54270,Etihad Stadium,Mike Jones,/en/matches/8b61dc89/Manchester-City-Bournemouth-December-23-2017-Premier-League,,8b61dc89
ENG-Premier League,1718,2017-12-23 Southampton-Huddersfield Town,19,Sat,2017-12-23,15:00 (12:00),Southampton,1–1,Huddersfield Town,29675,St. Mary's Stadium,Lee Probert,/en/matches/6ea3edf9/Southampton-Huddersfield-Town-December-23-2017-Premier-League,,6ea3edf9
ENG-Premier League,1718,2017-12-23 Stoke City-West Brom,19,Sat,2017-12-23,15:00 (12:00),Stoke City,3–1,West Brom,29057,Bet365 Stadium,Niel Swarbrick,/en/matches/07776252/Stoke-City-West-Bromwich-Albion-December-23-2017-Premier-League,,07776252
ENG-Premier League,1718,2017-12-23 Swansea City-Crystal Palace,19,Sat,2017-12-23,15:00 (12:00),Swansea City,1–1,Crystal Palace,20354,Liberty Stadium,Craig Pawson,/en/matches/49d4cefb/Swansea-City-Crystal-Palace-December-23-2017-Premier-League,,49d4cefb
ENG-Premier League,1718,2017-12-23 West Ham United-Newcastle United,19,Sat,2017-12-23,15:00 (12:00),West Ham United,2–3,Newcastle United,56955,London Stadium,Lee Mason,/en/matches/f30add1b/West-Ham-United-Newcastle-United-December-23-2017-Premier-League,,f30add1b
ENG-Premier League,1718,2017-12-26 Bournemouth-West Ham United,20,Tue,2017-12-26,15:00 (12:00),Bournemouth,3–3,West Ham United,10596,Vitality Stadium,Stuart Attwell,/en/matches/0abc466b/Bournemouth-West-Ham-United-December-26-2017-Premier-League,,0abc466b
ENG-Premier League,1718,2017-12-26 Chelsea-Brighton,20,Tue,2017-12-26,15:00 (12:00),Chelsea,2–0,Brighton,41568,Stamford Bridge,Mike Dean,/en/matches/d187fd93/Chelsea-Brighton-and-Hove-Albion-December-26-2017-Premier-League,,d187fd93
ENG-Premier League,1718,2017-12-26 Huddersfield Town-Stoke City,20,Tue,2017-12-26,15:00 (12:00),Huddersfield Town,1–1,Stoke City,24047,The John Smith's Stadium,Anthony Taylor,/en/matches/c892dd25/Huddersfield-Town-Stoke-City-December-26-2017-Premier-League,,c892dd25
ENG-Premier League,1718,2017-12-26 Liverpool-Swansea City,20,Tue,2017-12-26,17:30 (14:30),Liverpool,5–0,Swansea City,52850,Anfield,Kevin Friend,/en/matches/0d761f4b/Liverpool-Swansea-City-December-26-2017-Premier-League,,0d761f4b
ENG-Premier League,1718,2017-12-26 Manchester Utd-Burnley,20,Tue,2017-12-26,15:00 (12:00),Manchester Utd,2–2,Burnley,75046,Old Trafford,Martin Atkinson,/en/matches/b1b1fcc9/Manchester-United-Burnley-December-26-2017-Premier-League,,b1b1fcc9
ENG-Premier League,1718,2017-12-26 Tottenham Hotspur-Southampton,20,Tue,2017-12-26,12:30 (09:30),Tottenham Hotspur,5–2,Southampton,55412,Wembley Stadium,Graham Scott,/en/matches/ef6aade1/Tottenham-Hotspur-Southampton-December-26-2017-Premier-League,,ef6aade1
ENG-Premier League,1718,2017-12-26 Watford-Leicester City,20,Tue,2017-12-26,15:00 (12:00),Watford,2–1,Leicester City,20308,Vicarage Road Stadium,Chris Kavanagh,/en/matches/690be862/Watford-Leicester-City-December-26-2017-Premier-League,,690be862
ENG-Premier League,1718,2017-12-26 West Brom-Everton,20,Tue,2017-12-26,15:00 (12:00),West Brom,0–0,Everton,25364,The Hawthorns,Roger East,/en/matches/92d5a975/West-Bromwich-Albion-Everton-December-26-2017-Premier-League,,92d5a975
ENG-Premier League,1718,2017-12-27 Newcastle United-Manchester City,20,Wed,2017-12-27,19:45 (16:45),Newcastle United,0–1,Manchester City,52311,St. James' Park,Andre Marriner,/en/matches/31a533e7/Newcastle-United-Manchester-City-December-27-2017-Premier-League,,31a533e7
ENG-Premier League,1718,2017-12-28 Crystal Palace-Arsenal,20,Thu,2017-12-28,20:00 (17:00),Crystal Palace,2–3,Arsenal,25762,Selhurst Park,Michael Oliver,/en/matches/f0510a2c/Crystal-Palace-Arsenal-December-28-2017-Premier-League,,f0510a2c
ENG-Premier League,1718,2017-12-30 Bournemouth-Everton,21,Sat,2017-12-30,15:00 (12:00),Bournemouth,2–1,Everton,10497,Vitality Stadium,Lee Probert,/en/matches/8788e1c3/Bournemouth-Everton-December-30-2017-Premier-League,,8788e1c3
ENG-Premier League,1718,2017-12-30 Chelsea-Stoke City,21,Sat,2017-12-30,15:00 (12:00),Chelsea,5–0,Stoke City,41433,Stamford Bridge,Kevin Friend,/en/matches/508f7222/Chelsea-Stoke-City-December-30-2017-Premier-League,,508f7222
ENG-Premier League,1718,2017-12-30 Huddersfield Town-Burnley,21,Sat,2017-12-30,15:00 (12:00),Huddersfield Town,0–0,Burnley,24095,The John Smith's Stadium,Paul Tierney,/en/matches/2a80724c/Huddersfield-Town-Burnley-December-30-2017-Premier-League,,2a80724c
ENG-Premier League,1718,2017-12-30 Liverpool-Leicester City,21,Sat,2017-12-30,15:00 (12:00),Liverpool,2–1,Leicester City,53226,Anfield,Niel Swarbrick,/en/matches/a26f1f91/Liverpool-Leicester-City-December-30-2017-Premier-League,,a26f1f91
ENG-Premier League,1718,2017-12-30 Manchester Utd-Southampton,21,Sat,2017-12-30,17:30 (14:30),Manchester Utd,0–0,Southampton,75051,Old Trafford,Craig Pawson,/en/matches/a4051431/Manchester-United-Southampton-December-30-2017-Premier-League,,a4051431
ENG-Premier League,1718,2017-12-30 Newcastle United-Brighton,21,Sat,2017-12-30,15:00 (12:00),Newcastle United,0–0,Brighton,52209,St. James' Park,Anthony Taylor,/en/matches/edf48b64/Newcastle-United-Brighton-and-Hove-Albion-December-30-2017-Premier-League,,edf48b64
ENG-Premier League,1718,2017-12-30 Watford-Swansea City,21,Sat,2017-12-30,15:00 (12:00),Watford,1–2,Swansea City,20002,Vicarage Road Stadium,Martin Atkinson,/en/matches/ca2f3a1a/Watford-Swansea-City-December-30-2017-Premier-League,,ca2f3a1a
ENG-Premier League,1718,2017-12-31 Crystal Palace-Manchester City,21,Sun,2017-12-31,12:00 (09:00),Crystal Palace,0–0,Manchester City,25804,Selhurst Park,Jonathan Moss,/en/matches/b4453679/Crystal-Palace-Manchester-City-December-31-2017-Premier-League,,b4453679
ENG-Premier League,1718,2017-12-31 West Brom-Arsenal,21,Sun,2017-12-31,16:30 (13:30),West Brom,1–1,Arsenal,26223,The Hawthorns,Mike Dean,/en/matches/1d0f3208/West-Bromwich-Albion-Arsenal-December-31-2017-Premier-League,,1d0f3208
ENG-Premier League,1718,2018-01-01 Brighton-Bournemouth,22,Mon,2018-01-01,12:30 (09:30),Brighton,2–2,Bournemouth,30152,The American Express Community Stadium,Michael Oliver,/en/matches/42fceb48/Brighton-and-Hove-Albion-Bournemouth-January-1-2018-Premier-League,,42fceb48
ENG-Premier League,1718,2018-01-01 Burnley-Liverpool,22,Mon,2018-01-01,15:00 (12:00),Burnley,1–2,Liverpool,21756,Turf Moor,Roger East,/en/matches/5bc68150/Burnley-Liverpool-January-1-2018-Premier-League,,5bc68150
ENG-Premier League,1718,2018-01-01 Everton-Manchester Utd,22,Mon,2018-01-01,17:30 (14:30),Everton,0–2,Manchester Utd,39188,Goodison Park,Andre Marriner,/en/matches/19e56788/Everton-Manchester-United-January-1-2018-Premier-League,,19e56788
ENG-Premier League,1718,2018-01-01 Leicester City-Huddersfield Town,22,Mon,2018-01-01,15:00 (12:00),Leicester City,3–0,Huddersfield Town,31748,King Power Stadium,Graham Scott,/en/matches/55099119/Leicester-City-Huddersfield-Town-January-1-2018-Premier-League,,55099119
ENG-Premier League,1718,2018-01-01 Stoke City-Newcastle United,22,Mon,2018-01-01,15:00 (12:00),Stoke City,0–1,Newcastle United,28471,Bet365 Stadium,Chris Kavanagh,/en/matches/dcd9c8a8/Stoke-City-Newcastle-United-January-1-2018-Premier-League,,dcd9c8a8
ENG-Premier League,1718,2018-01-02 Manchester City-Watford,22,Tue,2018-01-02,20:00 (17:00),Manchester City,3–1,Watford,53556,Etihad Stadium,Lee Mason,/en/matches/1def0427/Manchester-City-Watford-January-2-2018-Premier-League,,1def0427
ENG-Premier League,1718,2018-01-02 Southampton-Crystal Palace,22,Tue,2018-01-02,19:45 (16:45),Southampton,1–2,Crystal Palace,28411,St. Mary's Stadium,Stuart Attwell,/en/matches/5ab84ac7/Southampton-Crystal-Palace-January-2-2018-Premier-League,,5ab84ac7
ENG-Premier League,1718,2018-01-02 Swansea City-Tottenham Hotspur,22,Tue,2018-01-02,19:45 (16:45),Swansea City,0–2,Tottenham Hotspur,20615,Liberty Stadium,Robert Madley,/en/matches/3a995480/Swansea-City-Tottenham-Hotspur-January-2-2018-Premier-League,,3a995480
ENG-Premier League,1718,2018-01-02 West Ham United-West Brom,22,Tue,2018-01-02,19:45 (16:45),West Ham United,2–1,West Brom,56888,London Stadium,Mike Jones,/en/matches/2d1547f5/West-Ham-United-West-Bromwich-Albion-January-2-2018-Premier-League,,2d1547f5
ENG-Premier League,1718,2018-01-03 Arsenal-Chelsea,22,Wed,2018-01-03,19:45 (16:45),Arsenal,2–2,Chelsea,59379,Emirates Stadium,Anthony Taylor,/en/matches/cea73804/North-West-London-Derby-Arsenal-Chelsea-January-3-2018-Premier-League,,cea73804
ENG-Premier League,1718,2018-01-04 Tottenham Hotspur-West Ham United,21,Thu,2018-01-04,20:00 (17:00),Tottenham Hotspur,1–1,West Ham United,50034,Wembley Stadium,Mike Dean,/en/matches/017448ed/Tottenham-Hotspur-West-Ham-United-January-4-2018-Premier-League,,017448ed
ENG-Premier League,1718,2018-01-13 Chelsea-Leicester City,23,Sat,2018-01-13,15:00 (12:00),Chelsea,0–0,Leicester City,41552,Stamford Bridge,Mike Jones,/en/matches/57dd6ca8/Chelsea-Leicester-City-January-13-2018-Premier-League,,57dd6ca8
ENG-Premier League,1718,2018-01-13 Crystal Palace-Burnley,23,Sat,2018-01-13,15:00 (12:00),Crystal Palace,1–0,Burnley,24696,Selhurst Park,Michael Oliver,/en/matches/45e647f7/Crystal-Palace-Burnley-January-13-2018-Premier-League,,45e647f7
ENG-Premier League,1718,2018-01-13 Huddersfield Town-West Ham United,23,Sat,2018-01-13,15:00 (12:00),Huddersfield Town,1–4,West Ham United,24105,The John Smith's Stadium,Jonathan Moss,/en/matches/7e7a4e35/Huddersfield-Town-West-Ham-United-January-13-2018-Premier-League,,7e7a4e35
